0;17;0;0;Lotus Flower;0;1;0;
1;18;0;0;Maman Plant;0;1;0;
2;19;0;0;NyaNya Plant;0;1;0;
3;40;0;0;Strongpoint Stone;0;1;0;
4;10;2;19;Happy Baphomet;1;1;4;
5;0;0;0;Poring;1;1;1;
6;0;0;13;Opparing;1;2;1;
7;1;0;0;Lunatic;1;3;3;
8;1;0;2;Red Nose Lunatic;1;4;2;
9;2;0;0;Spore;1;5;2;
10;11;1;5;King Poring;1;5;2;
11;2;0;14;Red Spore;1;6;2;
12;3;0;20;Moving Flower;1;7;2;
13;1;0;3;Lunatic Guard;1;7;3;
14;0;0;6;Poringring;1;8;2;
15;12;1;0;Eclipse;1;8;3;
16;12;0;16;Moon Bunny;1;9;2;
17;2;0;4;Thorn Spore;1;10;2;
18;8;0;0;Angeling;1;10;2;
19;4;2;0;Wolf;1;11;3;
20;3;0;15;Carnivore Flower;1;12;2;
21;5;2;0;Bigfoot;1;13;2;
22;4;2;0;Hungry Wolf;1;14;3;
23;2;0;8;Smoke Spore;1;15;2;
24;5;2;1;Pink Bear;1;16;2;
25;6;1;0;Orc Warrior;1;17;2;
26;4;2;0;Trained Wolf;1;18;3;
27;6;1;9;Orc Berserker;1;19;2;
28;7;2;0;Wooden Golem;1;20;2;
29;5;2;12;Bighand;1;21;2;
30;3;0;0;Flora;1;22;2;
31;5;2;11;Bear King;1;23;2;
32;15;1;0;High Orc;1;24;2;
33;7;2;8;Forest Golem;1;25;2;
34;20;0;0;Chonchon;1;26;3;
35;21;1;0;Kotbia;1;27;3;
36;22;1;0;Muka;1;28;2;
37;23;1;0;Scorpion;1;29;3;
38;16;2;0;Orc Hero;1;30;3;
39;4;2;0;Legend Wolf;1;31;3;
40;22;1;4;Thorn Muka;1;31;2;
41;5;2;19;Legend Bigfoot;1;32;2;
42;7;2;19;Legend Golem;1;32;2;
43;6;1;19;Legend Orc;1;33;3;
44;14;0;0;Chocomon;1;34;3;
45;15;1;23;Legend High Orc;1;35;3;
46;16;2;1;True Orc Hero;1;36;3;
47;10;2;19;Happy Baphomet;1;37;4;
48;9;0;0;Skeggiold;1;38;2;
49;13;1;17;Owl Duke;1;38;3;
50;10;2;0;Baphomet;1;41;4;
51;0;0;0;Poring;2;2;2;
52;0;0;13;Opparing;2;3;2;
53;1;0;0;Lunatic;2;4;3;
54;1;0;2;Red Nose Lunatic;2;5;2;
55;2;0;0;Spore;2;6;2;
56;11;1;5;King Poring;2;6;2;
57;2;0;14;Red Spore;2;7;2;
58;3;0;20;Moving Flower;2;8;2;
59;1;0;3;Lunatic Guard;2;8;3;
60;0;0;6;Poringring;2;9;2;
61;12;1;0;Eclipse;2;9;3;
62;12;0;16;Moon Bunny;2;10;2;
63;2;0;4;Thorn Spore;2;11;2;
64;8;0;0;Angeling;2;11;2;
65;4;2;0;Wolf;2;12;3;
66;3;0;15;Carnivore Flower;2;13;2;
67;5;2;0;Bigfoot;2;14;2;
68;4;2;0;Hungry Wolf;2;15;3;
69;2;0;8;Smoke Spore;2;16;2;
70;5;2;1;Pink Bear;2;17;2;
71;6;1;0;Orc Warrior;2;18;2;
72;4;2;0;Trained Wolf;2;19;3;
73;6;1;9;Orc Berserker;2;20;2;
74;7;2;0;Wooden Golem;2;21;2;
75;5;2;12;Bighand;2;22;2;
76;3;0;0;Flora;2;23;2;
77;5;2;11;Bear King;2;24;2;
78;15;1;0;High Orc;2;25;3;
79;7;2;8;Forest Golem;2;26;2;
80;20;0;0;Chonchon;2;27;3;
81;21;1;0;Kotbia;2;28;3;
82;22;1;0;Muka;2;29;2;
83;23;1;0;Scorpion;2;30;3;
84;16;2;0;Orc Hero;2;31;3;
85;4;2;0;Legend Wolf;2;32;3;
86;22;1;4;Thorn Muka;2;32;2;
87;5;2;19;Legend Bigfoot;2;33;3;
88;7;2;19;Legend Golem;2;33;2;
89;6;1;19;Legend Orc;2;34;3;
90;14;0;0;Chocomon;2;35;3;
91;15;1;23;Legend High Orc;2;36;3;
92;16;2;1;True Orc Hero;2;37;3;
93;10;2;19;Happy Baphomet;2;38;4;
94;9;0;0;Skeggiold;2;39;3;
95;13;1;17;Owl Duke;2;39;3;
96;10;2;0;Baphomet;2;42;4;
97;0;0;0;Poring;3;3;2;
98;0;0;13;Opparing;3;4;2;
99;1;0;0;Lunatic;3;5;3;
100;1;0;2;Red Nose Lunatic;3;6;2;
101;2;0;0;Spore;3;7;2;
102;11;1;5;King Poring;3;7;2;
103;2;0;14;Red Spore;3;8;2;
104;3;0;20;Moving Flower;3;9;2;
105;1;0;3;Lunatic Guard;3;9;3;
106;0;0;6;Poringring;3;10;2;
107;12;1;0;Eclipse;3;10;3;
108;12;0;16;Moon Bunny;3;11;2;
109;2;0;4;Thorn Spore;3;12;2;
110;8;0;0;Angeling;3;12;2;
111;4;2;0;Wolf;3;13;3;
112;3;0;15;Carnivore Flower;3;14;2;
113;5;2;0;Bigfoot;3;15;2;
114;4;2;0;Hungry Wolf;3;16;3;
115;2;0;8;Smoke Spore;3;17;2;
116;5;2;1;Pink Bear;3;18;2;
117;6;1;0;Orc Warrior;3;19;2;
118;4;2;0;Trained Wolf;3;20;3;
119;6;1;9;Orc Berserker;3;21;2;
120;7;2;0;Wooden Golem;3;22;2;
121;5;2;12;Bighand;3;23;2;
122;3;0;0;Flora;3;24;2;
123;5;2;11;Bear King;3;25;2;
124;15;1;0;High Orc;3;26;3;
125;7;2;8;Forest Golem;3;27;2;
126;20;0;0;Chonchon;3;28;3;
127;21;1;0;Kotbia;3;29;3;
128;22;1;0;Muka;3;30;2;
129;23;1;0;Scorpion;3;31;3;
130;16;2;0;Orc Hero;3;32;3;
131;4;2;0;Legend Wolf;3;33;3;
132;22;1;4;Thorn Muka;3;33;2;
133;5;2;19;Legend Bigfoot;3;34;3;
134;7;2;19;Legend Golem;3;34;3;
135;6;1;19;Legend Orc;3;35;3;
136;14;0;0;Chocomon;3;36;3;
137;15;1;23;Legend High Orc;3;37;3;
138;16;2;1;True Orc Hero;3;38;3;
139;10;2;19;Happy Baphomet;3;39;4;
140;9;0;0;Skeggiold;3;40;3;
141;13;1;17;Owl Duke;3;40;3;
142;10;2;0;Baphomet;3;43;4;
143;0;0;0;Poring;4;5;3;
144;0;0;13;Opparing;4;6;3;
145;1;0;0;Lunatic;4;7;3;
146;1;0;2;Red Nose Lunatic;4;8;2;
147;2;0;0;Spore;4;9;2;
148;11;1;5;King Poring;4;9;3;
149;2;0;14;Red Spore;4;10;2;
150;3;0;20;Moving Flower;4;11;1;
151;1;0;3;Lunatic Guard;4;11;3;
152;0;0;6;Poringring;4;12;3;
153;12;1;0;Eclipse;4;12;3;
154;12;0;16;Moon Bunny;4;13;3;
